Date,m1,m2,m3,m4,pib,selic,indice_ipca,selic_lag1,selic_lag3,selic_lag6,selic_lag12,pib_lag1,pib_lag3,pib_lag6,pib_lag12,pib_real,m1_real,m2_real,m3_real,m4_real,log_m1,log_m2,log_m3,log_m4,log_pib,dlog_m1,dlog_m2,dlog_m3,dlog_m4,dlog_mean,D_crise
2003-01-01,94.977783,391.237088,696.054502,810.272451,113580.0,25.06,115.06226966386544,23.03,19.59,18.17,19.05,115466.66666666667,119240.0,119500.0,110630.0,98711.76740368878,82.54468061290743,340.0220499238644,604.9372257590634,704.2034312090933,4.4133397299241475,5.829010468224609,6.405124693571568,6.557067279201404,11.499959442263178,,,,,,0
2003-02-01,93.602937,393.976058,706.788435,815.745074,114490.0,25.68,116.86874729758814,25.06,21.25,17.84,18.97,113580.0,117353.33333333333,119413.33333333333,112223.33333333333,97964.59930255689,80.092359304284,337.10984939095914,604.7711225998452,698.001042077427,4.383180460064824,5.820408839822549,6.404850076701332,6.5482205957088615,11.492361460786293,-0.0301592698593236,-0.008601628402059802,-0.00027461687023588865,-0.008846683492542695,-0.011970549656040497,0
2003-03-01,89.822584,388.142457,710.712013,820.859498,115400.0,26.32,118.30623288934848,25.68,23.03,17.89,18.72,114490.0,115466.66666666667,119326.66666666667,113816.66666666666,97543.46595410009,75.92379691779286,328.08284696464693,600.7392811372222,693.8429852362452,4.329730165140057,5.793266158699917,6.398161031989188,6.542245688852021,11.488053362302002,-0.05345029492476705,-0.02714268112263163,-0.006689044712143932,-0.005974906856840434,-0.02331423190409576,0
2003-04-01,87.410599,385.467653,712.80012,823.489095,116310.0,26.32,119.45380334837516,26.32,25.06,19.59,18.38,115400.0,113580.0,119240.0,115410.0,97368.18480429077,73.17523306066334,322.691820766746,596.7161362967986,689.3787153837001,4.292857017549486,5.776697752491718,6.391441516724482,6.5357907794890915,11.486254791550813,-0.03687314759057081,-0.016568406208198994,-0.006719515264705933,-0.006454909362929584,-0.01665399460660133,0
2003-05-01,86.231763,388.49069,721.321334,833.412205,117623.33333333333,26.31,120.18247154880027,26.32,25.68,21.25,18.37,116310.0,114490.0,117353.33333333333,116773.33333333333,97870.62274349401,71.75069865740402,323.2507078557232,600.1884673399369,693.4557046961643,4.273197591977744,5.778428207458457,6.397243718126456,6.541687365611392,11.49140170936574,-0.019659425571742162,0.001730454966739181,0.005802201401973406,0.005896586122300818,-0.0015575457701821893,0
2003-06-01,88.466315,386.338027,731.530105,840.397699,118936.66666666667,26.09,120.00219784147707,26.31,26.32,23.03,18.1,117623.33333333333,115400.0,115466.66666666667,118136.66666666667,99112.07361700328,73.72057894878226,321.9424593459135,609.59725584889,700.3185892563114,4.300281986118347,5.774372831892577,6.412798502802085,6.551535359013311,11.504006545561092,0.027084394140603152,-0.004055375565880759,0.015554784675629207,0.009847993401918664,0.012107949163067566,0
2003-07-01,87.050128,388.813938,749.105032,856.697017,120250.0,25.36,120.24220223716003,26.09,26.32,25.06,18.17,118936.66666666667,116310.0,113580.0,119500.0,100006.48504659337,72.39565342316871,323.3589627983707,622.9967665782607,712.4761531814689,4.28214626199787,5.778763046074618,6.434541328690936,6.568746442363707,11.51299031333346,-0.01813572412047737,0.004390214182041774,0.021742825888851236,0.01721108335039645,0.0063020998252030225,0
2003-08-01,87.318737,390.970738,766.249499,871.21077,120146.66666666666,23.5,120.65102572476638,25.36,26.31,25.68,17.84,120250.0,117623.33333333333,114490.0,119413.33333333333,99581.96869436462,72.37297526105974,324.0509027183051,635.0957187450664,722.0914739568302,4.281832959834265,5.780900610607556,6.45377572571404,6.58215182609873,11.508736389978303,-0.0003133021636045896,0.0021375645329371196,0.019234397023104144,0.01340538373502298,0.008616010781864913,0
2003-09-01,88.450654,392.149375,779.95806,888.610164,120043.33333333334,21.02,121.59210372541955,23.5,26.09,26.32,17.89,120146.66666666666,118936.66666666667,115400.0,119326.66666666667,98726.25742574234,72.74374839318523,322.512205139205,641.4545320815477,730.8123938760596,4.28694296961945,5.776140980912592,6.463738304040329,6.59415678368689,11.500106222723447,0.005110009785185277,-0.004759629694963685,0.009962578326288885,0.012004957588160003,0.00557947900116762,0
2003-10-01,88.533279,390.099002,791.844332,894.33359,119940.0,19.54,121.94472082622325,21.02,25.36,26.32,19.59,120043.33333333334,120250.0,116310.0,119240.0,98356.04131721285,72.60115763942248,319.89822876868016,649.3469554359915,733.392625724623,4.284980867150214,5.768002910112011,6.475967173911846,6.597681200670698,11.496349248643552,-0.0019621024692364486,-0.008138070800581154,0.012228869871516501,0.0035244169838080097,0.001413278396376727,0
2003-11-01,95.230124,401.818084,814.963841,921.918579,119286.66666666666,18.31,122.35933287703243,19.54,23.5,26.31,21.25,119940.0,120146.66666666666,117623.33333333333,117353.33333333333,97488.81745419966,77.82824714785222,328.3918558168468,666.0414222910279,753.4517860819832,4.354504439168823,5.794207577687466,6.501351864238495,6.624665029399522,11.48749295763078,0.0695235720186087,0.026204667575455254,0.02538469032664903,0.026983828728823767,0.03702418966238419,0
2003-12-01,112.76587,416.247543,841.738413,953.804538,118633.33333333334,16.91,122.995601407993,18.31,21.02,26.09,23.03,119286.66666666666,120043.33333333334,118936.66666666667,115466.66666666667,96453.31375697785,91.68284776781603,338.4247389622095,684.364646673697,775.4785757224779,4.518335314523893,5.824301730740267,6.5284908847424115,6.653480355829404,11.47681437499591,0.16383087535507013,0.03009415305280072,0.02713902050391681,0.02881532642988205,0.06246984383541743,0
2004-01-01,101.206857,408.357097,850.484302,968.637026,117980.0,16.32,123.93036797869374,16.91,19.54,25.36,25.06,118633.33333333334,119940.0,120250.0,113580.0,95198.61993816016,81.66429152974,329.505272727186,686.259805301487,781.5977970520746,4.402616838144383,5.7975923560214655,6.531256280956982,6.661340282213949,11.463720724226485,-0.11571847637950938,-0.026709374718801193,0.0027653962145706146,0.007859926384544913,-0.03295063212479876,0
2004-02-01,102.857652,411.584365,860.505531,981.337578,119870.0,16.3,124.68634322336378,16.32,18.31,23.5,25.68,117980.0,119286.66666666666,120146.66666666666,114490.0,96137.23275632861,82.4931178033991,330.0957862423518,690.1361518466267,787.0449582774488,4.412714869296087,5.799382873683313,6.536888899642825,6.668285372932462,11.473531957554696,0.010098031151703601,0.0017905176618473462,0.005632618685843305,0.006945090718512681,0.006116564554476733,0
